movie_name,year,genre,plot
Go West Young Man,1936,Comedy,"Movie star Mavis Arden, as amorous in private as she is pure in public, gets involved with a politician despite her watchdog publicist Morgan. Planning to meet her beau again at the next stop on her personal appearance tour, Mavis is stranded at a remote rural boarding house, with a pretentious landlady, sensible old maid, rabid film fan waitress...and strapping young mechanic Bud Norton, whom to Mavis is just the plaything of an idle hour..."
Re-Animated,2006,Comedy,"Jimmy is the kid everybody ignores and uses. One day, he gets into a freak accident. The only way for him to survive is a brain transplant. He gets the brain of Milt Appleday, a famous cartoon creator. And when he wakes up, he can see cartoons!"
Blue Blazes,1936,Comedy,"Buster becomes a fireman, but unfortunately not a particularly good one. He has a chance to prove himself, however, when three women are trapped in a burning building."
Meet the Baron,1933,Comedy,"The famous Baron Munchausen dumps two dimwits in the African jungle. A rescue team mistakes one of them for the missing Baron, and returns them to the US, where they're greeted as heroes. While giving a speech at a college, the ""Baron"" falls for a pretty girl, gets tangled up with a trio of nutty janitors and faces being exposed as a phony."
I Got the Hook Up,1998,Comedy,Two broke buddies feel lucky when they come upon a truckload of cellular phones and begin selling them from the back of their van. Trouble arises when the phones develop faults. The two friends must not only deal with unsatisfied customers but also gangsters and the FBI.
Narco,2004,Comedy,"Gus (played by Guillaume Canet) suffers from narcolepsy. He falls asleep all the time and has dreams about supermen from comics (Van Damme would play one of these supermen, a short &amp; secret appearance)."
Flower in the Pocket,2007,Comedy,"Two boys, Li Ahh and Li Ohm, grow up motherless. Their father, Sui, is a workaholic who shuts himself out of the world. The boys' quest to reach out to their father leads them to adopt a puppy. But when the animal is sent away for being a nuisance, the boys are devastated. For the first time, Sui realizes that all his children ask is simply to love and be loved."
The Flamingo Kid,1984,Comedy,"In 1963 Brooklyn, Jeffrey Willis has just finished high school and isn't quite sure what the future holds. His parents expect him to go to college, but he is starting to find his close-knit family stifling. He gets a summer job at the Flamingo beach club where he meets Phil Brody, a successful car dealer who fills his head with ideas about how to make his fortune. Phil is everything Jeffrey would like to be: popular, rich, and the best gin rummy player the club has ever seen. Jeffrey's coming-of-age includes a romance with the very pretty Carla Samson, but the shine on Phil Brody's philosophy of life wears off when he uncovers a significant flaw in his character."
Fool's Gold,2008,Comedy,"Benjamin Finnegan is a deep-sea treasure hunter certain he's onto the find of the century in waters near an island close to Key West owned by a murderous rap star to whom Ben is in debt. Ben's flat broke and recently divorced from Tess, his long-time research and diving partner whom he still loves. She's nearby, working as a steward aboard the yacht of Nigel Honeycutt, a multimillionaire. The rapper has hired a rival treasurer hunter. Can Ben convince Nigel to bankroll his search, convince Tess to work with him, keep the rapper and his thugs at bay, and find a Spanish treasure hidden for centuries and rich beyond imagination?"
"Nobody, Nobody But Juan",2009,Comedy,"An old man living in a nursing home in the States finds joy in watching a Filipino afternoon variety show on cable. His secret wish is to use the variety show to reconnect with an old love, but his cynical son is standing in his way."
Beverly Hills Chihuahua 2,2011,Comedy,"Papi and Chloe are back! It's been nearly two years after our four legged friends escaped the mean streets and perils of Mexico. Now we find everyone's favorite talking chihuahuas living in luxurious Beverly Hills happily married to each other and starting their new lives together as a family. But when their humans are struggling to pay the house mortgage, Papi, Chloe, their puppies and their friends will stop at nothing to save their home and get in touch with their inner warriors. But their new adventure is blocked by a series of hazards, both humans and canines."
Bill & Ted's Excellent Adventure,1989,Comedy,"In the small town of San Dimas, a few miles away from Los Angeles, there are two nearly brain dead teenage boys going by the names of Bill S, Preston ESQ. and Ted Theodore Logan, they have a dream together of starting their own rock and roll band called the ""Wyld Stallyns"". Unfortunately, they are still in high school and on the verge of failing out of their school as well, and if they do not pass their upcoming history report, they will be separated as a result of Ted's father sending him to military school. But, what Bill and Ted do not know is that they must stay together to save the future. So, a man from the future named Rufus came to help them pass their report. So, both Bill and Ted decided to gather up historical figures which they need for their report. They are hoping that this will help them pass their report so they can stay together."
Fresh Hare,1942,Comedy,"Mountie Elmer is on the trail of Bugs who's wanted dead or alive, ""preferably dead"". Elmer gets handcuffed to a bomb. Bugs looks through all Elmer's keys but can't seem to find the right one... Bugs foils Elmer with tricks like the Elmer-shaped snowman. Finally Bugs lets himself be arrested. Elmer takes Bugs back to the log stockade and puts Bugs up before a Mountie firing squad. But Bugs starts singing ""Dixie"". The stockade becomes a field of cotton, and all the Mounties, including Elmer, turn into singing Negro minstrels!"
The Human Tornado,1976,Comedy,"One of several Rudy Ray Moore films, THE HUMAN TORNADO is part of the on-going adventures of Dolemite: a signifying' super-hero. Dolemite comes to the rescue of Queen Bee, whose primarily black Nightclub is threatened by White Mafia types."
Valley Girl,1983,Comedy,"Julie, a girl from the valley, meets Randy, a punk from the city. They are from different worlds and find love. Somehow they need to stay together in spite of her trendy, shallow friends."
Anything Can Happen,1952,Comedy,"Giorgi, a man of character, emigrates from Georgia, U.S.S.R. to the U.S. He and other Georgian immigrants there support one another while struggling to find work and become U.S. citizens. Giorgi falls for a cute reporter interested in his case."
Happy Ever Afters,2009,Comedy,"Dublin: Maura is a single mom, furniture repossessed, being evicted. For a fee, she's marrying Wilson, an African, facing deportation. Her nine-year old, Molly, thinks she's going to get a dad. Freddie, a bit of a compulsive, is remarrying Sophie, after divorce and recommitment; she's starved herself into her old wedding dress. Both bridal parties arrive at the same inn for receptions: Freddie and Maura's paths keep crossing, Sophie thinks the two are having an affair, immigration officers are stalking Wilson, and Molly's figuring out what's really up. Sophie's father threatens Freddie with bodily harm if anything goes wrong. Can it not?"
Shark Tale,2004,Comedy,"The sea underworld is shaken up when the son of shark mob boss Don Lino (Robert De Niro) is found dead, and a young fish named Oscar (Will Smith) is found at the scene. Being a bottom feeder, Oscar takes advantage of the situation and makes himself look like he killed the finned mobster. Oscar soon comes to realize that his claim may have serious consequences."
Bundal Baaz,1976,Comedy,"Daydreamer Rajaram lives a poor lifestyle in a village in India along with his aunt and an unmarried sister, Malti, who has mortgaged their shanty house with Sukhi Lala so that she can educate Rajaram in Bombay. Rajaram pretends to be wealthy in order to get married to his sweetheart, Nisha Sharma, much to the chagrin of her dad who wants her to get married to a boxer, Ranjeet Gupta. After Rajaram gets a degree in Arts he returns home and finds out about the debt, he attempts to find work, ends up working as a laborer with Sukhi, but is beaten-up when he is found slacking. Rajaram returns to Bombay, meets with Suleiman, and takes up collecting waste material (Dabha Batli) from households for a fee. One day he comes across a bottle, which falls down and out pops a 20000 year old Genie with magical powers. Rajaram does not want anything to do with this Genie, who insists on helping him for one year regardless. With his help Rajaram and Suleiman improve their lifestyle, albeit with a lot of problems, and also improve Rajaram's chances of getting married to Nisha. Things get complicated when the Genie loses his ring, which ends up with Ranjeet, who summons another Genie, Jumjumbo, from the very pits of hell, and abducts Nisha and her dad in order to force Nisha to marry him. Rajaram and the Genie set out for their rescue - only to find that the Genie has no powers underground - and both end up at the mercy of the evil Jumjumbo and Ranjeet."
"A Genius, Two Partners and a Dupe",1975,Comedy,"Expert conman Joe Thanks teams up with half-breed Bill and naive Lucy to steal $300,000 from the Indian-hating Major Cabot. Their elaborate plan is full of disguises, double-crosses, and chases, but Joe always seems to know what he's doing."
Jinxed!,1982,Comedy,"Harold, a professional gambler, and his girlfriend Bonita, a lounge singer, follow Willie, a young blackjack dealer, around the western U.S. Harold has a jinx on Willie and can't lose with him. Bonita and Willie meet and fall for each other and plot to do away with Harold and collect on his life insurance."
The Tom and Jerry Cartoon Kit,1962,Comedy,"We see the box set of the title, including ""one mean, stupid cat""; ""one sweet, lovable mouse"" and other items. We see them used in two sequences, set against blank backdrops. First, the two have a battle of watermelon seed spitting. When they run out of ammo, Jerry goes back to the box, where there's a book, ""Judo for Mice."" He studies quickly, and takes on Tom. Tom studies boxing, to no avail. He then studies judo himself and then comes out demonstrating karate-style board/brick breaking, with him and Jerry bringing on ever-larger targets. The last is so large it has to be brought in with a crane, and it crashes through the floor."
De Düva: The Dove,1968,Comedy,"This short film is a parody of some of Ingmar Bergman's best known films, including Wild Strawberries (Smultronstaellet) and The Seventh Seal (Det Sjunde Inseglet). The dialog, seemingly in Swedish, is actually a Swedish-accented fictional language based on English, German, Latin, and Swedish, with most nouns ending in ""ska"". The principal character, Professor Viktor Sundqvist, 76, is being driven to a lecture at the university, when dove droppings splatter the car's windshield. Detouring at his uncle's old house, his mind wanders back to his youth, when Death came to a family picnic to claim his sister, Inga. Knowing that Death is a gambler, Viktor has Inga challenge Death to a single-point game of badminton for her life. While they are playing, a dove flies above, soiling Death's cape, and distracting him enough to miss the birdie. Having won the game, Inga is free, and she and Viktor run off for a swim in the lake."
Laughology,2009,Comedy,"Laughter. Plato hated it, the Bible discouraged it, scientists avoided it, psychologists once thought if it didn't kill you, it would drive you insane. With his trademark blend of humor and serious investigation, Albert Nerenberg drops in on cutting edge neuroscientists and cardiologists to Christian holy laughter groups in search of its origin and meaning. Ultimately he finds the man with the most contagious laugh in the world. Laughology wittily weaves research, archival stills, television clips, and a hilarious send-up of the use of re-enactments in docs. Nerenberg's quest to rediscover his own laugh has produced a film that will undoubtedly play a major role in a 'global laughter trend at a crucial time when the world needs a good laugh.'"
Hotel Haywire,1937,Comedy,A couple has an ideal marriage until she finds women's lingerie in his coat pocket. An astrologer advises her to make her husband unhappy. Meanwhile their daughter plans to elope in the same hotel her father has unknowingly moved into.
Made for Each Other,2009,Comedy,"The best part of any marriage is consummating it. However, after 3 months of a sexless marriage, Dan finds himself in the throes of casual sex with another woman. Dan decides the only way to morally rectify this is, of course, to get his wife to cheat on him and thus he sets out to find the right man to even the score."
The Ballad of Cable Hogue,1970,Comedy,"Double-crossed and left without water in the desert, Cable Hogue is saved when he finds a spring. It is in just the right spot for a much needed rest stop on the local stagecoach line, and Hogue uses this to his advantage. He builds a house and makes money off the stagecoach passengers. Hildy, a sex worker from the nearest town, moves in with him. Hogue has everything going his way until the advent of the automobile ends the era of the stagecoach."
Treehouse Hostage,1999,Comedy,"Timmy Taylor and his two friends, Stevie and Buddy capture escaped convict Carl Banks (Jim Varney) and hold him hostage in their treehouse over the weekend so that Timmy can use Carl as his current event project at school on Monday. The boys then find that Carl is mixed up in a counterfeiting ring that could spell trouble for them too."
All for the Winner,1990,Comedy,"Sing, a dumb, lovable mainlander with supernatural powers comes to China to visit his uncle Tat. When it's revealed that Sing can see through objects, Tat employs him as ""The Saint of Gamblers,"" and proceeds to set him loose in the gambling world."
Waiting for Guffman,1996,Comedy,"The residents of Blaine, Missouri - the self-proclaimed home of the first UFO landing in the United States (Blaine residents beg to differ with Roswell's claims) and stool capital of the world - are excited about the town's upcoming sesquicentennial celebrations, which will have as its centerpiece the original musical production, ""Red, White and Blaine"". Assisted by high school music teacher Lloyd Miller, Corky St. Clair, the musical's writer/composer and former New York theater professional (off off off off Broadway) who currently leads the Blaine Community Players, will helm the production. Corky and Lloyd are excited about their 'talented' cast of locals and the production as a whole, Corky and Lloyd who themselves are as untalented and unaware as their cast. Corky and company are especially anticipating the presence of Mort Guffman in the audience on opening night, he a representative of the prestigious New York based Oppenheimer Organization. In Corky's mind, a favorable review from Guffman means that the production is heading to Broadway. Through all the ups and downs and more downs of the pre-production, everyone in Blaine still can't wait for opening night and the arrival of Guffman, upon who the cast and crew's dreams rest."
Quints,2000,Comedy,"Jamie Grover's parents are always around and not letting her have ANY space. She wishes for just a couple days without their constant attention. She gets her wish. Her mother has quintuplets. Being the first in their state, they become famous. Mother and Father get caught up in the fame and Jamie has to bring them back down to reality."
